time,latitude,longitude,depth,magnitude,magnitude_type,source_agency,event_id
,-42.864845,-72.489372,-0.2046,3.1,,CSN,CSN_352
,-42.85735,-72.539746,10.2959,3.1,,CSN,CSN_354
,-42.878335,-72.554719,11.7458,3.0,,CSN,CSN_356
,-42.948151,-72.421402,12.9048,3.2,,CSN,CSN_358
,-42.871851,-72.544671,9.2105,3.2,,CSN,CSN_359
,-42.879861,-72.554138,13.1472,3.1,,CSN,CSN_361
,-42.901888,-72.480178,8.4141,3.2,,CSN,CSN_362
,-42.878771,-72.511207,8.7597,3.0,,CSN,CSN_363
,-42.878019,-72.588013,14.3023,3.1,,CSN,CSN_364
,-42.935575,-72.436469,11.2564,3.3,,CSN,CSN_367
,-42.866756,-72.533694,10.5981,3.2,,CSN,CSN_370
,-42.898919,-72.51629,8.2779,3.0,,CSN,CSN_372
,-42.83729,-72.587109,5.6883,3.1,,CSN,CSN_375
,-42.907387,-72.448087,4.8484,3.0,,CSN,CSN_377
,-42.889638,-72.5526,15.507,3.1,,CSN,CSN_379
,-42.942445,-72.459568,19.561,3.2,,CSN,CSN_385
,-42.904363,-72.504388,13.1788,3.1,,CSN,CSN_391
,-42.909659,-72.506191,12.6854,3.0,,CSN,CSN_393
,-42.929293,-72.439232,8.176,3.1,,CSN,CSN_401
,-42.86431,-72.545557,8.0323,3.6,,CSN,CSN_403
,-42.89362,-72.47825,5.5381,3.0,,CSN,CSN_407
,-42.922914,-72.478181,14.7496,3.2,,CSN,CSN_410
,-42.855244,-72.564004,8.8705,3.0,,CSN,CSN_411
,-42.782672,-72.727038,0.8104,3.0,,CSN,CSN_412
,-42.880496,-72.537326,9.2128,3.1,,CSN,CSN_413
,-42.874542,-72.530485,12.2958,3.1,,CSN,CSN_416
,-42.867063,-72.550834,13.2119,3.0,,CSN,CSN_418
,-42.776874,-72.717302,-0.3073,3.0,,CSN,CSN_421
,-42.903872,-72.514633,16.0379,3.1,,CSN,CSN_422
,-42.891993,-72.553766,8.0834,3.3,,CSN,CSN_429
,-42.855326,-72.551528,8.8334,3.0,,CSN,CSN_431
,-42.861685,-72.538898,8.3258,3.0,,CSN,CSN_434
,-42.938022,-72.466945,22.3809,3.1,,CSN,CSN_436
,-42.876642,-72.525598,9.2382,3.0,,CSN,CSN_440
,-42.921911,-72.518036,18.5887,3.0,,CSN,CSN_443
,-42.949658,-72.457108,17.2841,3.2,,CSN,CSN_448
,-42.871361,-72.532606,10.876,3.2,,CSN,CSN_454
,-42.867372,-72.549508,11.5866,3.1,,CSN,CSN_458
,-42.813746,-72.611178,5.5165,3.2,,CSN,CSN_459
,-42.85956,-72.533459,8.8685,3.2,,CSN,CSN_462
,-43.059258,-72.296019,18.7647,3.3,,CSN,CSN_470
,-42.875065,-72.516184,3.6372,3.0,,CSN,CSN_471
,-42.837712,-72.617343,5.976,3.0,,CSN,CSN_472
,-42.92603,-72.470724,12.8321,3.2,,CSN,CSN_473
,-42.823834,-72.622687,5.1611,3.0,,CSN,CSN_474
,-42.858621,-72.573251,7.8159,3.3,,CSN,CSN_476
,-42.842694,-72.588405,11.598,3.0,,CSN,CSN_477
,-42.836693,-72.590998,9.1798,3.0,,CSN,CSN_479
,-42.921191,-72.478609,16.1314,3.1,,CSN,CSN_487
,-42.907645,-72.489387,12.4219,3.1,,CSN,CSN_488
,-42.826135,-72.626907,6.6622,3.1,,CSN,CSN_491
,-42.816967,-72.651664,6.4358,3.0,,CSN,CSN_496
