time,latitude,longitude,depth,magnitude,magnitude_type,source_agency,event_id
2015-12-28T15:10:30.129,41.3975,-118.9763,10.0,4.1,Mwr,ISC,612128559
2015-12-30T01:48:57.346,34.1747,-117.4212,9.5,4.3,Mwr,ISC,608130494
,,,,,,,# Agencies whose data contributed towards the results of this search:
,,,,,,,# BGR       Bundesanstalt fÃ¼r Geowissenschaften und Rohstoffe                                Germany
,,,,,,,# BJI       China Earthquake Networks Center                                                 China
,,,,,,,# ECX       Centro de InvestigaciÃ³n CientÃ­fica y de EducaciÃ³n Superior de Ensenada           Mexico
,,,,,,,# GCMT      The Global CMT Project                                                           U.S.A.
,,,,,,,# IASPEI    IASPEI Working Group on Reference Events                                         U.S.A.
,,,,,,,"# IDC       International Data Centre, CTBTO                                                 Austria"
,,,,,,,# IRIS      IRIS Data Management Center                                                      U.S.A.
,,,,,,,# ISC       International Seismological Centre                                               United Kingdom
,,,,,,,# ISC-EHB   Revision and Continuation of the EHB project                                     United Kingdom
,,,,,,,# MEX       Instituto de GeofÃ­sica de la UNAM                                                Mexico
,,,,,,,# MOS       Geophysical Survey of Russian Academy of Sciences                                Russia
,,,,,,,# NEIC      National Earthquake Information Center                                           U.S.A.
