time,latitude,longitude,depth,magnitude,magnitude_type,source_agency,event_id
1444973391210,33.2711667,-116.7896667,8.53,3.19,mw,USGS,ci37476536
1444914620920,37.7861667,-121.9643333,8.52,3.36,mw,USGS,nc72537675
1444830929960,34.197,-116.9068333,10.11,3.47,mw,USGS,ci37475560
1444820321190,37.7853333,-121.9636667,7.96,3.08,mw,USGS,nc72536565
1444469922891,41.8508,-119.6334,10.6,3,ml,USGS,nn00514218
1444224531470,32.3435,-115.255,15.43,3.37,ml,USGS,ci37254543
1443969034057,41.8655,-119.6136,9.2,3,ml,USGS,nn00513404
1443965299765,41.8654,-119.599,9.8,3.3,ml,USGS,nn00513400
1443849677291,38.6575,-118.8051,5.9,3,ml,USGS,nn00513295
1443729888520,41.8687,-119.5953,7.2,3,ml,USGS,nn00513098
1443485010399,41.8542,-119.6368,11.9,4.2,ml,USGS,nn00512709
1443476200160,39.4435,-122.9865,7.991,3.91,mw,USGS,nc72532161
1443416137864,41.8564,-119.6267,10.2,3,ml,USGS,nn00512559
1443348603764,39.645,-119.1478,7.2,3,ml,USGS,nn00512464
1443321840617,41.8709,-119.6123,10.2,4.2,ml,USGS,nn00512427
1443295660115,41.8636,-119.6007,8.5,3.1,ml,USGS,nn00512362
1443294509320,41.8542,-119.6043,9,3.3,ml,USGS,nn00512358
1443136661429,38.6512,-118.7989,6.3,3,ml,USGS,nn00512113
1443102698370,40.4266667,-123.3941667,8.13,3,ml,USGS,nc72529026
1442961259896,41.8623,-119.6359,11.6,3.1,ml,USGS,nn00511780
1442768121558,41.8648,-119.6279,10.9,3.4,ml,USGS,nn00511445
1442607108663,38.4719,-118.3649,5.9,3.6,ml,USGS,nn00511265
1442522847701,41.858,-119.6452,11.8,3.1,ml,USGS,nn00511125
1442419847340,34.1371667,-116.858,9.55,4,mw,USGS,ci37243591
1442374077820,32.9313333,-115.5413333,11.96,3.28,ml,USGS,ci37243311
1442321166150,38.809,-122.8128333,2.438,3,ml,USGS,nc72525476
1442239925845,41.8468,-119.6435,8.3,3,ml,USGS,nn00510527
1442238948087,41.8594,-119.6271,9.7,4.7,ml,USGS,nn00510518
1442217765260,37.5975,-118.7878333,4.776,3.22,ml,USGS,nc72525076
1442065292640,39.8076667,-122.7425,2.862,3.07,ml,USGS,nc72524286
1441884007445,38.6502,-118.7997,6.4,3.1,ml,USGS,nn00509943
1441700022940,41.9868333,-120.1623333,7.097,3.52,ml,USGS,nc72522031
1441678900414,38.6521,-118.8004,7.3,3.4,ml,USGS,nn00509598
1441678891118,38.6514,-118.8018,6.5,3.5,ml,USGS,nn00509591
1441678519980,38.6488,-118.8064,6.2,4.4,ml,USGS,nn00509589
1441517437721,41.8473,-119.6354,8.2,3,ml,USGS,nn00509421
1441352139156,41.8463,-119.6317,8.7,3.3,ml,USGS,nn00509233
1441272992240,41.8532,-119.6307,8.4,3.2,ml,USGS,nn00509117
1441061547486,41.8624,-119.6267,10.3,3.3,ml,USGS,nn00508828
1441056377795,41.8712,-119.6053,10.2,3.1,ml,USGS,nn00508822
1441015183592,41.8615,-119.6253,11.2,3.3,ml,USGS,nn00508719
1440836027100,39.4791667,-123.5883333,5.386,3.04,ml,USGS,nc71096509
1440835994110,39.481,-123.5968333,5.046,3.56,mw,USGS,nc72515311
1440351678670,38.7843333,-122.7436667,3.51,3.83,mw,USGS,nc72511186
1440250488830,37.5975,-118.7878333,4.76,3.71,mw,USGS,nc72510456
1439858679784,41.8493,-119.6263,11.1,3.3,ml,USGS,nn00506851
1439819357320,37.8366667,-122.2321667,4.69,4.01,mw,USGS,nc72507396
1439797149710,32.1896667,-117.7175,9.82,3.75,ml,USGS,ci37228879
1439610214114,41.9156,-119.6214,9.2,3.3,ml,USGS,nn00506570
1439533937728,41.8841,-119.6241,9.5,3.5,ml,USGS,nn00506470
1439526927647,41.8713,-119.6179,10.5,3.4,ml,USGS,nn00506455
1439465467857,41.8856,-119.622,10.3,4.2,ml,USGS,nn00506331
1439430852909,41.8792,-119.6151,9.1,3.2,ml,USGS,nn00506315
1439416957266,40.1305,-119.1781,6.6,3.5,ml,USGS,nn00506293
1439314752594,41.8878,-119.6452,9.7,3,ml,USGS,nn00506010
1439151970620,37.7861667,-122.5913333,10.36,3.12,ml,USGS,nc72503636
1439101467740,41.8781,-119.6469,10.7,3.1,ml,USGS,nn00505653
1438659659590,34.4565,-116.461,2.79,3.21,ml,USGS,ci37219951
1438533041860,36.5578333,-120.6085,6.406,3.01,ml,USGS,nc72499526
1438520467639,41.8891,-119.6378,10.7,3.1,ml,USGS,nn00504785
1438454876993,41.9078,-119.639,9.6,3,ml,USGS,nn00504702
1438454538577,41.9052,-119.6351,8.9,3.8,ml,USGS,nn00504704
1438431603068,41.8295,-119.6049,5.5,3.1,ml,USGS,nn00504677
1438211252780,37.3136667,-121.6735,10.13,3.22,ml,USGS,nc72496776
1438188777726,41.9229,-119.6266,9.8,3,ml,USGS,nn00504174
1438021465220,38.9111667,-123.6168333,5.88,3.45,ml,USGS,nc72495466
1437988540676,41.8995,-119.6273,8.8,3,ml,USGS,nn00503823
1437980430094,41.8799,-119.618,8.4,3.6,ml,USGS,nn00503797
1437966490767,41.8883,-119.621,8.8,3.1,ml,USGS,nn00503781
1437959133610,41.8875,-119.6226,10.7,4.5,ml,USGS,nn00503760
1437828846990,34.092,-117.445,5.079,3.81,mw,USGS,ci37213455
1437602827567,41.8878,-119.6288,7.8,4,ml,USGS,nn00503084
1437580314595,36.6192,-116.2475,7.4,3,ml,USGS,nn00503008
1437542630168,41.8862,-119.6335,10.5,3.3,ml,USGS,nn00502945
1437533753100,38.8175,-122.76,1.703,3.05,ml,USGS,nc72491441
1437471674480,37.5776667,-121.974,8.37,3.98,mw,USGS,nc72490826
1437454804374,41.8627,-119.6424,9.2,3.4,ml,USGS,nn00502784
1437303298737,41.8508,-119.6404,8.7,3.4,ml,USGS,nn00502564
1437269766880,39.4526667,-120.28,7.791,3.19,mw,USGS,nc72488831
1437250284720,34.579,-120.8703333,-0.34,3.1,ml,USGS,ci37209439
1437137573424,41.8665,-119.652,9.2,3.3,ml,USGS,nn00502186
1437066872288,41.8954,-119.63,7.6,3.7,ml,USGS,nn00502003
1437039934128,41.8714,-119.6366,2.1,3.7,ml,USGS,nn00501978
1437025890423,41.8534,-119.6478,8.3,3.8,ml,USGS,nn00501971
1437015044656,41.8872,-119.6167,7.9,3,ml,USGS,nn00501946
1437011846295,41.9006,-119.6373,8.5,4,ml,USGS,nn00501947
1437011828238,41.8557,-119.6545,9.4,3.2,ml,USGS,nn00502072
1437011531994,41.8986,-119.6367,10.1,4.6,ml,USGS,nn00501944
1437011449182,41.8712,-119.6284,8.8,3.4,ml,USGS,nn00501936
1437011417512,41.88,-119.644,10,3.4,ml,USGS,nn00501929
1437011150799,41.8782,-119.6265,9.5,3.2,ml,USGS,nn00501962
1436831555220,37.5333333,-118.6685,8.905,3.01,ml,USGS,nc72485081
1436498989160,38.8081667,-122.7903333,3.026,3.83,mw,USGS,nc72483061
1436294787850,34.0953333,-120.6366667,18.56,3.63,ml,USGS,ci37200503
1435865919760,32.981,-115.5813333,11.76,3.57,ml,USGS,ci37196663
1435700864320,32.354,-115.208,26.01,3.24,ml,USGS,ci37194935
1435558122550,36.733,-117.2486667,1.9,3.26,ml,USGS,ci37193303
1435109658064,40.6207,-117.3259,2.1,3.1,ml,USGS,nn00499724
1434489765580,38.3905,-119.3853333,1.928,3.17,ml,USGS,nc72467186
1434464009120,37.4788333,-118.8225,4.235,3.15,ml,USGS,nc72467021
1434306892280,35.7216667,-117.599,8.887,3.63,ml,USGS,ci37400032
1434117906114,37.2668,-114.645,5.2,3.4,ml,USGS,nn00498350
1433987427638,37.6918,-117.6481,5.4,3.4,ml,USGS,nn00498164
1433887121530,33.778,-115.7006667,9.949,3.83,ml,USGS,ci37396400
1433686778160,36.6661667,-121.2913333,5.415,3.15,ml,USGS,nc72462401
1433652863880,33.9168333,-118.297,11.366,3.2,ml,USGS,ci37394832
1433484676740,35.8626667,-117.6903333,3.398,3.31,ml,USGS,ci37393840
1433430769190,35.4823333,-118.4238333,3.958,3.52,ml,USGS,ci37393496
1433251229160,35.862,-117.6855,2.782,3.46,ml,USGS,ci37392440
1433208671550,35.8595,-117.6888333,3.067,3.51,ml,USGS,ci37392152
1433077376460,33.3135,-116.2816667,12.769,3.59,mw,USGS,ci37390968
1432963436720,33.8766667,-116.1425,7.04,3.7,ml,USGS,ci37390168
1432815221750,32.2473333,-115.2816667,10.79,3.45,ml,USGS,ci37388864
1432814640300,32.2323333,-115.2821667,11.81,3.25,ml,USGS,ci37388832
1432712858350,33.9641667,-119.906,16.86,3,ml,USGS,ci37388136
1432693903610,37.3144,-114.6438,7.1,3.1,ml,USGS,nn00496267
1432692261186,37.3604,-114.5958,8.5,3.2,ml,USGS,nn00496265
1432684986201,37.3307,-114.5908,8.9,3.3,ml,USGS,nn00496244
1432635455820,40.6508333,-124.712,19.72,4.34,mw,USGS,nc72455721
1432487162050,38.9762,-116.0637,0,3.6,ml,USGS,nn00495847
1432400811390,33.989,-118.3536667,10.48,3.09,ml,USGS,ci37385936
1432358067890,37.45,-114.1831667,11.06,3.41,ml,USGS,uu60111707
1432323682383,37.309,-114.6519,5.9,3.5,ml,USGS,nn00495496
1432322369763,37.3371,-114.642,7.5,3,ml,USGS,nn00495487
1432321523910,37.3138,-114.639,9.6,3.8,ml,USGS,nn00495573
1432320462980,37.2925,-114.6546,4,5.3,ml,USGS,nn00495477
1432284069520,35.6871667,-121.1163333,4.295,3.16,ml,USGS,nc72453391
1432277767350,32.3763333,-115.238,23.15,3.38,ml,USGS,ci37385088
1432271158620,32.362,-115.2423333,25.65,3.26,ml,USGS,ci37385072
1432263180780,38.4316667,-122.2503333,12.83,4.09,mw,USGS,nc72453246
1432184772800,33.163,-115.6468333,3.39,3.33,ml,USGS,ci37166303
1432180261850,33.1596667,-115.6483333,3.16,3.28,ml,USGS,ci37166175
